Exit,Exit the game
Title Veteran Nurse,Veteran Nurse
Text Veteran Nurse,"+2 Fame/turn and -1 Money/turn per Patient ally (max = club tier + 3)."
Title Permanent Patient,Permanent Patient
Text Permanent Patient,<F>Monday exam is quite similar to therapy Tuesday.
Title Doctor,Doctor
Text Doctor,+3 Fame/turn per Patient ally (max +12).
Title Picky Nurse,Picky Nurse
Text Picky Nurse,"+Fame/turn equal to the highest tier among Patient allies."
Title Amateur Rigger,Amateur Rigger
Text Amateur Rigger,<F>Purple hands?  I'm sure it's normal.
Title Domme,Domme
Text Domme,<F>Your knees will be sore tonight.
Title Madam,Madam
Text Madam,<F>I will take care of your needs and your money.
Title Mistress,Mistress
Text Mistress,<F>This collar will remind you of my power.
Title Dominatrix,Dominatrix
Text Dominatrix,<F>Bring your credit card slave.
Title Mistress Sophie,Mistress Sophie
Text Mistress Sophie,<F>Votre douleur est mon plaisir.
Title Scammer,Scammer
Text Scammer,Your Timed Events last 1 less turn.
Title Pyramid Schemer,Pyramid Schemer
Text Pyramid Schemer,"Ally Enters: -1 Money per 2 allies with a tier lower than them."
Title Ponzi Schemer,Ponzi Schemer
Text Ponzi Schemer,"<F>Trust me, this police ankle bracelet is only a kink of mine."
Title Party Pooper,Party Pooper
Text Party Pooper,<F>Why is everyone so boring nowadays?
Title College Dropout,College Dropout
Text College Dropout,"-2 Fame/turn if you have more fame. At tier 4+, -1 Fame/turn."
Title Union Leader,Union Leader
Text Union Leader,"+1 Fame/turn per ally and -1 Fame/turn per rival (max +/- 5)."
Title No-Fap Advocate,No-Fap Advocate
Text No-Fap Advocate,"-1 Fame/turn per Play Action taken this turn."
Title Pandora Infiltrator,Pandora Infiltrator
Text Pandora Infiltrator,"Enters: Select a member, then gain their types. Ally Enters: -1/-0 or -0/-1 at random if it shares a type (max -3/-2)."
Prerequisite Pandora Infiltrator,"Select a member to get their type(s)"
Title Uncontrollable Sub,Uncontrollable Sub
Text Uncontrollable Sub,"Stays 2 turns. Non-Liability Ally Enters: They get -1/0. Enters: -8 Fame."
Title Baby Girl,Baby Girl
Text Baby Girl,+1 Money/turn if there's a Mommy ally.
Title Caring Mother,Caring Mother
Text Caring Mother,<F>Mother do you think they'll try to break my balls.
Title Diaper Baby,Diaper Baby
Text Diaper Baby,+3 Money/turn if there's a Maid ally.
Title Sugar Baby,Sugar Baby
Text Sugar Baby,<F>This baby wants a diamond pacifier.
Title Babysitter,Babysitter
Text Babysitter,+2 Fame/turn per Baby ally (max +4).
Title Soap Opera Mother,Soap Opera Mother
Text Soap Opera Mother,Enters: +25 Fame if there's a Baby ally.
Title Amanda,Amanda
Text Amanda,<F>I never thought I would find a second home in this perverted place.
Title Sarah,Sarah
Text Sarah,"+2 Fame/turn if there's a Mistress Sophie ally. +1 Fame/turn if there's an Amanda ally. -1 Fame/turn if there's a Sidney ally."
Title Sidney,Sidney
Text Sidney,<F>Anyone that calls me Piggy will end up in a hogtie.
Title Jennifer,Jennifer
Text Jennifer,Enters: Select an ally to remove.
Prerequisite Jennifer,Select a member from your club to remove before Jennifer enters.
Title College Freshwoman,College Freshwoman
Text College Freshwoman,+1 Fame/turn if there's a Julia or Yuki ally.
Title College Nerd,College Nerd
Text College Nerd,+1 Money/turn if there's a Julia or Yuki ally.
Title College Hidden Genius,Hidden Genius
Text College Hidden Genius,+4 Fame/turn if there's a Mildred ally.
Title Substitute Teacher,Substitute Teacher
Text Substitute Teacher,+1 Fame/turn per Student ally (max +4).
Title Julia,Julia
Text Julia,<F>Seeing them learn and grow is magnifico.
Title Yuki,Yuki
Text Yuki,<F>You cannot learn with a closed mind or closed legs.
Title Mildred,Mildred
Text Mildred,"<F>In my class, silence is gold and will be enforced."
Title Sam the Busty Cow,Sam the Busty Cow
Text Sam the Busty Cow,<F>Got Milk?
Title Suki,Suki
Text Suki,+1 Money/turn if there's another Kemonomimi ally.
Title Angela,Angela
Text Angela,<F>Hmms nya~ Could I interest you in a lewd potion mew?~
Title Scratch and Win,Scratch and Win
Text Scratch and Win,Played: +7-10 Money.
Title Kinky Garage Sale,Kinky Garage Sale
Text Kinky Garage Sale,Played: +15 Money.
Title Second Mortgage,Second Mortgage
Text Second Mortgage,Played: +20 Money.
Title Foreign Investment,Foreign Investment
Text Foreign Investment,Played: +30 Money.
Title Cat Burglar,Cat Burglar
Text Cat Burglar,"Played: Steal Money and Fame equal to Opponent's club tier, then repeat if there's no Police rivals."
Title Money Heist,Money Heist
Text Money Heist,"Played: Steal 6 Money, then steal 2 Money if there's a Criminal ally, then steal 4 Money if there's no Police rivals."
Title BDSM Ball,BDSM Ball
Text BDSM Ball,"Played: All Submissive or Dominant allies get +1/+0."
Title Vampire Ball,Vampire Ball
Text Vampire Ball,"Played: +2 Fame per ally that's not a Dominant, Liability, Kemonomimi, Maid, Player, or Staff."
Title Straitjacket Saturday,Straitjacket Saturday
Text Straitjacket Saturday,Played: +4 Money per Patient ally and draw a random Nurse.
Title Charity Auction,Charity Auction
Text Charity Auction,"Played: Select an ally to remove to get +1 Fame per club tier."
Prerequisite Charity Auction,Select a member from your club to remove for Fame.
Title Slave Auction,Slave Auction
Text Slave Auction,"Played: Select an ally to remove to get +1 Money per club tier."
Prerequisite Slave Auction,Select a member from your club to remove for Money.
Title College Bash,College Bash
Text College Bash,"Played: +2 Fame and -1 Money per Student ally, then +1 more Fame per Student ally if there's a Sidney ally."
Title Ransomware,Ransomware
Text Ransomware,"Played: Opponent loses Money equal to 4 * their club tier, or half as much if there's a Jennifer or Amanda rivals."
Title Shibari Evening,Shibari Evening
Text Shibari Evening,Played: +1 Fame per non-Dominant ally and +1 Fame per Shibari ally.
Title Moving Out of Town,Moving Out of Town
Text Moving Out of Town,Played: Select a rival to remove.
Prerequisite Moving Out of Town,Select a member from your opponent club to remove.
Prerequisite Kidnapping,Select a member from your opponent's club to kidnap.
Title Virtual Meeting,Virtual Meeting
Text Virtual Meeting,Played: Draw 2 cards.
Title Weekend Meeting,Weekend Meeting
Text Weekend Meeting,Played: Draw 3 cards.
Title Fancy Meeting,Fancy Meeting
Text Fancy Meeting,Played: Draw 4 cards.
Title Prank,Prank
Text Prank,Played: Opponent discards 2 random cards.
Title Sabotage,Sabotage
Text Sabotage,"Lasts 3 turns. Opponent Turn End: Opponent loses 10 Fame if they took the Draw Action, and if they took the play action, discard a card."
Title Nursery Night,Nursery Night
Text Nursery Night,"Played: Opponent loses 6 Fame per allied Mommy-Baby pair, then if there's a Maid ally, +Fame equal to half that amount."
Title Bad Press,Bad Press
Text Bad Press,"Lasts 3 turns. Opponent can't gain Fame/turn. Played: End opponent's Clever Marketing."
Effect Bad Press,No Fame is gained because of OPPONENTPLAYER Bad Press event.
Title Clever Marketing,Clever Marketing
Text Clever Marketing,"Lasts 3 turns. +50% Fame/turn per turn in play. Played: End opponent's Bad Press."
Effect Clever Marketing,Fame gained is increased because of SOURCEPLAYER Clever Marketing event.
Title Repay Loan,Repay Loan
Text Repay Loan,"Lasts 3 turns. Opponent can't gain Money/turn. Played: End opponent's Bank Loan."
Effect Repay Loan,No Money is gained because of OPPONENTPLAYER Repay Loan event.
Title Bank Loan,Bank Loan
Text Bank Loan,"Lasts 3 turns. Double your Money/turn. Played: End opponent's Repay Loan."
Effect Bank Loan,Money gained is doubled because of SOURCEPLAYER Bank Loan event.
Title Teamwork,Teamwork
Text Teamwork,"Lasts 4 turns. Draw Action: Draw an extra card."
Title Overtime,Overtime
Text Overtime,"Lasts 3 turns. +1 action each turn."
Title Porn Convention,Porn Convention
Text Porn Convention,"Lasts 3 turns. Players get +3 Fame/turn per Porn Actress in their club (max +12 each)."
Title Kidnapping,Kidnapping
Text Kidnapping,"Played: Select a rival to remove, then lose Money equal to opponent's club tier ^ 2."
Title Pandora Box,Pandora's Box
Text Pandora Box,"Played: Discard your hand, then players draw until they have at least 4 cards in hand, then players draw a card."
Effect Pandora Box,"SOURCEPLAYER opens Pandora's Box and discard their hand. All players draw until they have 4 cards, then draw a card."
Title Toy Box,Toy Box
Text Toy Box,"Played: +3 Fame, +3 Money, and draw a card."
Title Restrain,Restrain
Text Restrain,"Lasts 2 turns. If your club tier is lower by 2+, lasts 1 turn instead. Players can't play Events. Negate all active Events."
Title Detective,Detective
Text Detective,"Opponent Draw Action: +2 Money, and if there's no Liabilities allies, +1 Fame."
Title Launder,Launder
Text Launder,"Needs a Criminal to play. Played: Spend all of your Money, then +1 Fame per 3 Money spent. Turn End (in streets): Returns to the deck."
Title Big Baby,Big Baby
Text Big Baby,"Enters: Opponent draws a card."
Title Fussy Baby,Fussy Baby
Text Fussy Baby,Opponent Plays An Event: +4 Fame and she returns to hand.
Effect Fussy Baby,Fussy Baby returned to SOURCEPLAYER's hand and gave 4 fame.
Title Daycare Enthusiast,Daycare Enthusiast
Text Daycare Enthusiast,"Mommy Ally Enters: Play a random Baby from your hand."
Title Daycare Party,Daycare Party
Text Daycare Party,Played: +4 Fame and draw a card per Mommy ally.
Title Nanny,Nanny
Text Nanny,Baby Ally Enters: +1 Fame equal to your club tier.
Title Dommy Mommy,Dommy Mommy
Text Dommy Mommy,+1 Fame/turn per Baby ally. Enters: +1 Fame per ally.
Title Contract Caretaker,Contract Caretaker
Text Contract Caretaker,"Baby Ally Enters: Opponent loses 4 Fame."
Title Teacher's Aide,Teacher's Aide
Text Teacher's Aide,<F>Aiding her teacher day and night
Title Homeroom,Homeroom
Text Homeroom,Needs 3+ College Members to play. Lasts 4 turns. Players can't upgrade their club.
Title Student Custodian,Student Custodian
Text Student Custodian,"+1 Money/turn per 2 Student Allies. at tier 4+, +1 Fame/turn instead (max = number of Teacher and Staff Allies)."
Title Recess,Recess
Text Recess,"Played: +2 Money per Baby or Student ally, then draw 2 cards."
Title Med Student,Med Student
Text Med Student,+1 Money/turn if there's a Patient ally and +1 Fame/turn if there's a Teacher ally.
Title First Bell,First Bell
Text First Bell,"Played: Draw a random Student, then +1 action on turn 1 or if there's a Teacher ally."
Effect First Bell Draw,SOURCEPLAYER draws 1 card from First Bell
Effect First Bell No Draw,SOURCEPLAYER could not draw any cards from First Bell
Title Debuter,Debuter
Text Debuter,"Enters: Draw a random Event."
Effect Debuter Draw,SOURCEPLAYER draws 1 random Event from Debuter
Effect Debuter No Draw,SOURCEPLAYER could not draw any Events from Debuter
Title Re-Run,Re-Run
Text Re-Run,"Played: +1 action, return a random Video from your streets to your hand, then +Fame equal to its tier."
Effect Re-Run,SOURCEPLAYER returned CARDNAME from their Streets to their hand and gained FAMELABEL.
Title Naughty Knotter,Naughty Knotter
Text Naughty Knotter,"Enters: Play 2 random Knots from your streets."
Title Gangbang Banger,Gangbang Banger
Text Gangbang Banger,"Played: Return all Porn Actresses allies to hand, then play all Porn Members in your hand."
Effect Gangbang Banger,The porn actresses from SOURCEPLAYER’s club leave… and instantly strut right back in!
Title Alvin,Alvin
Text Alvin,"You Play Restrain or Shibari Event, or Kidnapping a Dominant or Mistress: Summon a Rope Slave (max 3 in club)."
Title Rope Slave,Rope Slave
Text Rope Slave,You Play A Shibari Event or Knot: +1 Money.
Effect Rope Slave,"SOURCEPLAYER gained MONEYLABEL from Rope Slave."
Title Quack Doctor,Quack Doctor
Text Quack Doctor,"Turn Start: Players lose 1 Fame per Patient ally (max -4)."
Effect Quack Doctor,"SOURCEPLAYER and OPPONENTPLAYER lost FAMELABEL."
Title Sophie,Sophie
Text Sophie,"+2 Fame/turn if there's a LARP Queen ally. +1 Money/turn if there's 3+ Kemonomimi allies. Enters: Select a non-Liability member to double its stats."
Effect Sophie,CARDNAME got their fame and money boosted by the lovely Sophie~
Prerequisite Sophie,Select a member to enhance before Sophie enters.
Title Hypnotherapist,Hypnotherapist
Text Hypnotherapist,"Enters: +1 action and return all tier 1 members to hands."
Effect Hypnotherapist,"All Tier 1 members have returned to their owners' hands."
Title Help Button,Help Button
Text Help Button,"Played: Select an ally to return to the deck, then play a random equal-tier Maid or Nurse from your deck."
Effect Help Button No Draw,SOURCEPLAYER could not summon any cards from Help Button.
Prerequisite Help Button,Select a member from your club to return to deck.
Title Prodigious Patient,Prodigious Patient
Text Prodigious Patient,"Stays 6 turns. Leaves: Opponent loses 15 Fame and discards a random card."
Title Theatre Nurse,Theatre Nurse
Text Theatre Nurse,"Patient Ally Enters: +3 Money and draw a card."
Title Knot Nut,Knot Nut
Text Knot Nut,"<F>These ropes wont hold me forever... better add more."
Title Quality Maid,Quality Maid
Text Quality Maid,Lower your club upgrade cost by 10 Money.
Title Public Spanking,Public Spanking
Text Public Spanking,"Lasts 3 turns. Turn End: Opponent loses Fame equal to 4 + the highest tier among Dominant allies."
Effect Public Spanking,SOURCEPLAYER lost FAMELABEL because of public spanking.
Title Nawashi,Nawashi
Text Nawashi,"Enters: Opponent can't gain Fame/turn next turn."
Effect Nawashi,No Fame is gained because of OPPONENTPLAYER Nawashi.
DiscardPile,Streets (discard pile)
Close,Close
Title Burlington Bowtie,Burlington Bowtie
Text Burlington Bowtie,"Played: +4 Fame, +2 Fame per Sensei ally."
Effect Burlington Bowtie,SOURCEPLAYER gained FAMELABEL from Burlington Bowtie.
Title Square Knot,Square Knot
Text Square Knot,"Played: Opponent loses 4 Fame, and if there's a Sensei ally, get +4 Fame."
Effect Square Knot,OPPONENTPLAYER lost FAMELABEL from Square Knot.
Effect Square Knot Sensei,SOURCEPLAYER gained FAMELABEL from Square Knot
Title Closed Hitch,Closed Hitch
Text Closed Hitch,Played: Draw a card.
Effect Closed Hitch,SOURCEPLAYER draws a card from Closed Hitch.
Title Struggler's Knot,Struggler's Knot
Text Struggler's Knot,Played: +1 action. 
Title Quick Release Knot,Quick Release Knot
Text Quick Release Knot,"Played: +4 Money, +1 Money per Knot in your streets, then return this card and all Knots from your streets to the deck."
Effect Quick Release Knot,SOURCEPLAYER gained MONEYLABEL from Quick Release Knot.
Title Master Class,Master Class
Text Master Class,"Lasts 4 turns. Turn Start: Play a random Knot from your deck if there's a Sensei ally."
Title Tie Tight,Tie Tight
Text Tie Tight,"Played: Select a rival to return to the deck, then opponent draws a card unless there's a Sensei ally."
Prerequisite Tie Tight,Select a member from your opponent club to remove.
Title Rope Auction,Rope Auction
Text Rope Auction,"Played: Select an ally to remove to play a random Knot from your deck."
Prerequisite Rope Auction,Select a member from your club to remove.
GroupSensei,Sensei
GroupKnot,Knot
Title Shibari Lover,Shibari Lover
Text Shibari Lover,"Enters, or Shibari Ally Enters: Play a random Knot from your deck."
Title Goddess of Ropes,Goddess of Ropes
Text Goddess of Ropes,"You Play A Shibari Card: Play a random Knot from your deck." 
Title Rope Slinger,Rope Slinger
Text Rope Slinger,"Active (once/turn): Play all Knots from your hand."
Effect Rope Slinger,Rope Slinger played all knots from SOURCEPLAYER's hand.
Title Fit To Be Tied,Fit To Be Tied
Text Fit To Be Tied,"Played: Play all Knots from your hand, deck, and streets, then return all Knots from your streets to the deck."
Title Living Art,Living Art
Text Living Art,You Play A Shibari Event or Knot: +1 Fame.
Effect Living Art,"SOURCEPLAYER gained FAMELABEL from Living Art."
Title Attention Whore,Attention Whore
Text Attention Whore,Enters: Select an active Event to end.
Prerequisite Attention Whore,Select an ongoing event to remove before Attention Whore enters.
MemberSummoned,CARDNAME joins SOURCEPLAYER's club.
GroupPet,Pet
GroupOwner,Owner
Title Bun Bun,Bun Bun
Text Bun Bun,"+1 Money/turn if there's an Owner ally. +1 Fame/turn at tier 5+. Enters: +1 Fame and -1 Money."
Title Naughty Kitty,Naughty Kitty
Text Naughty Kitty,"Enters: -3 Money and discard your hand. You Draw: +Money equal to your club tier."
Title Jessica,Jessica
Text Jessica,"Pets treat your club tier as 2 higher. Pet Ally Enters: +1 Fame and draw a card."
Title MerMaid,MerMaid
Text MerMaid,"Enters: -25 Money, draw a card, and if there's an Owner ally, +1 action."
Title Puppy,Puppy
Text Puppy,"+1 Money/turn per 2 of your club tiers. +1 Fame/turn if there's an Owner ally. Enters: -5 Money."
Title Protective Owner,Protective Owner
Text Protective Owner,"Pets treat your club tier as 1 higher. You Discard A Pet: Return them to the deck."
Title Feline Fatale,Feline Fatale
Text Feline Fatale,"Enters: -13 Money, then select a rival to remove if there's a higher- or equal-tier Owner ally."
Prerequisite Feline Fatale,Select a member from your opponent club to remove.
Title Wolf Girl,Wolf Girl
Text Wolf Girl,"+1 Fame/turn per 2 of your club tiers. +1 Money/turn if there's an Owner ally. Enters: -7 Money and Opponent discards a random card."
Title Pet toys,Pet toys
Text Pet toys,"Played: +2 Fame and -1 Money per Pet ally, and +1 Fame per Pet ally if there's an Owner ally."
Title Pet Sitter,Pet Sitter
Text Pet Sitter,"+1 Money/turn per Pet (max +5). Opponent gets +1 Money/turn if they have a Pet."
Title Pet Rock,Pet Rock
Text Pet Rock,<F>Just a rock...
Title Tips,Tips
Text Tips,"Lasts 5 turns. Turn Start: +1 Money."
Title Pet Trainer,Pet Trainer
Text Pet Trainer,"+3 Fame/turn if there's a Show Dog ally. Pet Ally Enters: +2 Fame."
Title Show Dog,Show Dog
Text Show Dog,"Enters: -15 Money and reveal your hand."
Title Miss Mouse,Miss Mouse
Text Miss Mouse,"+1 Fame/turn if there's an Owner ally. Pet Ally Enters: Opponent loses 1 Fame per 2 of your club tiers. Enters: -1 Money."
Title Rich Owner,Rich Owner
Text Rich Owner,"Pets treat your club tier as 1 higher. +1 Fame/turn if there's a Maid ally. Pet Ally Enters: +1 Money per Pet ally (max +5)."
Title Tour Guide,Tour Guide
Text Tour Guide,"+3 Money/turn if there's a Tourist ally. +3 Fame/turn if there's a Diplomat ally. Enters: Draw a card."
Title Moon,"Moon"
Text Moon,"Can't be targeted. Enters: -16 Money and select a member to copy to your hand."
Prerequisite Moon,Choose a member to create an illusory copy of that card in your hand. 
Title Sticky Fingers,Sticky Fingers
Text Sticky Fingers,"Enters: Steal 2 Fame. You Steal With Another Effect: Steal 1 Fame and Money."
Title Earner,Earner
Text Earner,"+1 Money/turn per ally in your streets (max +5). Enters: Discard a random ally from your deck, then get +Money equal to its tier."
Title Naughty Baby,Naughty Baby
